64,70.04,7.73,0.53,20.76,24,2.51,53,156,278,4,1.29,0.268,0.475,2.5,0.4,0.202,0.055,0.495,0.411,0.1,208,0,1,0,0.138,0.044,0.225
65,91.3,4.67,0.1,2.8,69,1.09,62,42,351,6,0.24,0.154,0.412,0.9,18.4,0.256,0.142,1.008,0.046,0.135,60,0,29,0,0.026,0.009,0.042
66,89.5,2.6,0.3,7,55,0.7,41,49,196,3,0.24,0.071,0.219,0.7,17,0.09,0.09,0.8,0.638,0.123,26,0,70,0,0.079,0.027,0.127
67,92.5,1.9,0.6,3.8,61,0.8,26,48,353,8,0.15,0.114,0.372,0.9,23,0.06,0.16,0.8,0.163,0.157,37,0,232,0,0.02,0.205,0.196
68,89.8,2,0.6,6.4,140,1.8,24,42,232,44,0.28,0.115,0.23,0.3,18,0.13,0.175,0.514,0.057,0.16,13,0,342,0,0.146,0.012,0.262
69,93.6,1.83,0.64,2.93,38,2.08,89,52,321,3,0.17,0.114,0.303,0.9,26.3,0.034,0.086,0.411,0.036,0.1,8,0,174,0,0,0,0
70,81.65,5.27,0.93,11.15,151,2.32,34,67,344,9,0.49,0.086,0.868,0.9,31,0.222,0.509,1.995,0.102,0.929,23,0,351,0,0.152,0.473,0.015
71,88.42,2.09,0.19,8.18,20,0.45,42,49,457,43,0.42,0.078,0.241,0.7,97,0.046,0.068,0.59,0.701,0.112,30,0,4,0,0.031,0.097,0.003
72,84.29,0.66,0.34,14.34,9,0.36,20,31,453,21,0.17,0.085,0.223,0.2,5.7,0.046,0.042,0.26,0.501,0.099,12,0,0,0,0.027,0.063,0.148
73,95.32,0.6,0.02,3.69,24,0.25,11,13,170,2,0.7,0.026,0.066,0.2,8.5,0.029,0.022,0.39,0.144,0.038,4,0,0,0,0.002,0.004,0.009
74,89.56,0.32,0.14,9.48,7,0.18,7,11,225,4,0.17,0.077,0.108,0.5,146.4,0.026,0.013,0.42,0,0.09,5,0,14,0,0.04,0.013,0.059
75,69.13,8.14,0.58,20.69,40,4.58,82,120,337,7,2.85,0.341,0.482,2.8,0,0.27,0.037,0.411,0.316,0.037,4,0,0,0,0.099,0.026,0.245
76,86.9,2.95,0.27,9.2,41,0.76,42,49,262,2,0.38,0.048,0.21,1.6,5.1,0.056,0.088,0.48,0.053,0.023,47,0,7,0,0.119,0.129,0.01
77,87.15,3.68,0.2,7.29,211,3.14,62,72,550,11,0.79,0.255,0.123,0.9,33,0.091,0.192,0.89,0.072,0.57,104,0,259,0,0.03,0.014,0.096
78,89.82,2.94,1.21,5.3,150,0.84,25,42,144,16,0.27,0.067,0.542,0.9,17.8,0.063,0.14,0.457,0.17,0.063,65,0,146,0,0.175,0.102,0.66
79,90.3,1.8,0.11,6.69,25,0.4,19,45,340,21,0.31,0.132,0.142,0.8,54,0.04,0.02,0.39,0.16,0.154,12,0,2,0,0.014,0.008,0.053
80,90.8,0.81,0.2,7.62,30,1.1,14,17,87,10,0.06,0.062,0.247,0.5,4.2,0.026,0.02,0.2,0.072,0.113,24,0,41,0,0.027,0.003,0.111
81,69.64,9.02,0.38,20.13,19,3.33,36,180,369,2,1.27,0.251,0.494,2.8,1.5,0.169,0.073,1.06,0.638,0.178,181,0,0,0,0.053,0.064,0.175
82,68.7,8.8,0.45,21.25,14,3.1,35,153,284,10,1.6,0.337,0.502,0.6,12.6,0.22,0.09,1.2,0.571,0.164,67,0,2,0,0.053,0.095,0.201
83,67.17,6.81,0.32,23.64,32,2.45,74,130,570,17,0.79,0.305,1.252,2,10.1,0.14,0.096,1.04,0.257,0.193,26,0,15,0,0.073,0.019,0.154
84,69.79,7.8,0.38,20.88,17,2.39,43,111,508,2,0.95,0.235,0.516,4.5,0,0.161,0.055,0.421,0.422,0.161,83,0,0,0,0.089,0.034,0.171
85,67.15,8.04,0.38,23.31,29,2.4,53,127,401,3,1.03,0.215,0.585,4.9,0,0.161,0.055,0.66,0.472,0.078,150,0,0,0,0.088,0.034,0.169
86,81.42,1.58,0.07,16.02,26,0.9,22,78,363,45,0.33,0.217,0.22,0.6,27.4,0.127,0.01,0.3,0.302,0.218,8,0,0,0,0.021,0.014,0.014
87,71.08,15.57,2.92,9.88,51,1.2,54,128,245,4,1.38,0.231,0.676,2.6,1.1,0.134,0.053,0.495,0.188,0.009,59,0,0,0,0.346,1.18,0.73
88,71.41,3.51,1,23.67,3,0.63,44,100,62,2,0.91,0.161,0.272,0.9,0,0.106,0.082,1.33,0.171,0.108,19,0,0,0,0.172,0.184,0.508
89,69.23,7.81,0.55,20.96,3,3.14,104,150,304,10,0.59,0.164,0.527,2.8,1,0.124,0.023,0.668,0.391,0.093,143,0,1,0,0.124,0.044,0.256
