product_id,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total ",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
49,95.32,1.5,0.2,2.18,105,0.8,19,37,252,65,0.19,0.021,0.159,0.5,45,0.04,0.07,0.5,0.088,0.194,66,0,223,0,0.027,0.015,0.096
50,90.39,1.43,0.16,7.37,45,0.8,16,30,243,27,0.22,0.017,0.243,0.6,57,0.064,0.069,0.418,0.147,0.209,18,0,56,0,0.021,0.012,0.08
51,91,2,0.1,6.1,35,0.4,28,42,230,28,0.27,0.062,0.18,0.9,31,0.07,0.03,0.3,0.187,0.19,80,0,50,0,0.013,0.007,0.049
52,94,0.7,0.1,4.07,70,0.7,42,23,400,170,0.17,0.231,0.256,0.2,2,0.02,0.03,0.3,0.338,0.116,68,0,0,0,0.011,0.018,0.041
53,92.07,1.92,0.28,4.97,22,0.42,15,44,299,30,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57,0,0,0,0.13,0.034,0.031
54,89.79,2.95,0.3,6.09,33,0.73,20,62,300,23,0.64,0.041,0.247,0.6,88.1,0.08,0.102,0.734,0.696,0.222,57,0,8,0,0.047,0.028,0.133
55,88,1.5,0.3,9.2,43,0.7,20,115,300,100,0.33,0.07,0.158,0.7,8,0.05,0.06,0.7,0.352,0.165,8,0,0,0,0.079,0.058,0.148
56,95.43,0.69,0.17,2.97,40,0.2,11,24,260,80,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36,0,22,0,0.042,0.032,0.079
57,94.24,0.82,0.13,4.51,17,0.34,12,18,125,2,0.74,0.123,0.189,0.2,7.7,0.025,0.029,0.47,0.249,0.076,93,0,0,0,0.028,0.01,0.057
58,7.68,20.47,6.04,62.95,57,4.31,79,252,718,24,2.76,0.656,4.15,0,4,0.477,0.212,1.541,1.588,0.535,557,0,3,0,0.603,1.377,2.731
59,89.62,3.02,0.61,5.42,232,0.47,27,25,213,17,0.21,0.046,0.658,1.3,35.3,0.054,0.13,0.742,0.267,0.165,129,0,251,0,0.055,0.03,0.201
60,75.96,3.22,1.18,19.02,2,0.52,37,89,270,15,0.45,0.054,0.161,0.6,6.8,0.2,0.06,1.7,0.76,0.055,46,0,0,0,0.182,0.347,0.559
61,76.05,3.27,1.35,18.7,2,0.52,37,89,270,15,0.46,0.054,0.163,0.6,6.8,0.155,0.055,1.77,0.717,0.093,42,0,9,0,0.325,0.432,0.487
62,77.2,2.95,0.35,18.83,126,1.1,51,53,431,4,1.01,0.13,0.56,2.3,2.5,0.11,0.145,1.45,0.151,0.067,168,0,41,0,0.09,0.032,0.15
63,11.05,23.85,2.07,59.64,85,9.95,333,438,1375,58,6.11,1.059,1.544,9.1,1.5,0.68,0.17,2.795,1.511,0.361,639,0,2,0,0.542,0.173,0.889
64,11.95,23.52,1.26,60.03,110,8.27,184,424,1112,16,3.37,0.845,1.528,9,1.5,0.853,0.226,2.075,1.496,0.357,633,0,3,0,0.331,0.106,0.542
65,89.78,4.1,0.25,4.82,63,1.92,43,9,455,7,0.29,0.191,0.509,0.9,36,0.354,0.175,1.12,0.06,0.177,101,0,36,0,0.066,0.022,0.106
66,86,3.3,0.3,9.5,65,1,58,65,215,4,0.34,0.1,0.308,0.9,33,0.15,0.14,1.2,0.945,0.173,53,0,68,0,0.079,0.027,0.127
67,89.4,2.6,0.7,5.5,81,1.3,38,76,606,14,0.23,0.17,0.553,0.9,69,0.08,0.26,1,0.242,0.247,80,0,346,0,0.023,0.239,0.228
